Instancia,TATT,CTFDS,Diferenca
eil51.tsp,584.0,520.0,89.04109589041096
berlin52.tsp,10114.0,8977.0,88.75815701008503
st70.tsp,888.0,797.0,89.75225225225225
eil76.tsp,696.0,661.0,94.97126436781609
pr76.tsp,145336.0,123205.0,84.77252710959432
rat99.tsp,1693.0,1463.0,86.41464855286473
kroA100.tsp,27210.0,25692.0,94.42116868798236
kroB100.tsp,25885.0,26034.0,100.57562294765307
kroC100.tsp,27968.0,24587.0,87.91118421052632
kroD100.tsp,27112.0,25042.0,92.3650044260844
kroE100.tsp,29965.0,26226.0,87.5221091273152
rd100.tsp,10790.0,9654.0,89.47173308619092
eil101.tsp,830.0,760.0,91.56626506024097
lin105.tsp,19495.0,17439.0,89.45370607848166
pr107.tsp,54237.0,50445.0,93.00846285745892
pr124.tsp,74139.0,66691.0,89.95400531434198
bier127.tsp,158626.0,141010.0,88.89463265795014
ch130.tsp,8129.0,7076.0,87.04637716816337
pr136.tsp,151904.0,109876.0,72.33252580577206
pr144.tsp,80599.0,72300.0,89.70334619536222
ch150.tsp,8347.0,7517.0,90.05630765544507
kroA150.tsp,35119.0,31910.0,90.86249608474046
kroB150.tsp,36150.0,31998.0,88.51452282157678
pr152.tsp,87995.0,80862.0,91.89385760554578
u159.tsp,57791.0,50527.0,87.43056877368448
rat195.tsp,3234.0,2861.0,88.46629560915275
d198.tsp,18936.0,17989.0,94.99894381073088
kroA200.tsp,40028.0,35542.0,88.79284500849406
kroB200.tsp,40703.0,35032.0,86.06736604181509
ts225.tsp,188008.0,138212.0,73.5138930258287
tsp225.tsp,5161.0,4678.0,90.64134857585739
pr226.tsp,116694.0,96622.0,82.79945841260047
gil262.tsp,3308.0,2863.0,86.54776299879082
pr264.tsp,66470.0,57693.0,86.79554686324657
a280.tsp,3592.0,3133.0,87.22160356347439
pr299.tsp,64645.0,57021.0,88.20635780029392
lin318.tsp,58138.0,50272.0,86.4701228112422
linhp318.tsp,58138.0,50272.0,86.4701228112422
rd400.tsp,20331.0,18519.0,91.08750184447396
fl417.tsp,16200.0,14242.0,87.91358024691358
pr439.tsp,144623.0,125671.0,86.89558369000781
pcb442.tsp,69223.0,61189.0,88.39403088568828
d493.tsp,44884.0,40969.0,91.27751537296142
u574.tsp,48902.0,44139.0,90.2601120608564
rat575.tsp,9393.0,8311.0,88.48078356222719
p654.tsp,49699.0,40581.0,81.65355439747279
d657.tsp,66342.0,58021.0,87.45741762382804
u724.tsp,57721.0,50657.0,87.76181978829196
rat783.tsp,11921.0,10857.0,91.07457428068115
pr1002.tsp,342216.0,307245.0,89.7810154989831
u1060.tsp,305849.0,264327.0,86.42401969599376
vm1084.tsp,315277.0,281630.0,89.32779746064571
pcb1173.tsp,80761.0,67813.0,83.9675090699719
d1291.tsp,75282.0,60292.0,80.08820169496028
rl1304.tsp,348309.0,288913.0,82.94732550694928
rl1323.tsp,380427.0,311311.0,81.83199404879254
nrw1379.tsp,79188.0,69210.0,87.39960600090923
fl1400.tsp,28022.0,23845.0,85.09385482834915
u1432.tsp,214417.0,186083.0,86.78556271191184
fl1577.tsp,30257.0,25630.0,84.70767095217636
d1655.tsp,85285.0,74313.0,87.13490062730843
vm1748.tsp,442756.0,400345.0,90.42113489145262
u1817.tsp,82013.0,70055.0,85.41938473168888
rl1889.tsp,448611.0,361526.0,80.58785896912916
d2103.tsp,123086.0,85801.0,69.70817152235023
u2152.tsp,93801.0,77424.0,82.54069786036396
u2319.tsp,320506.0,304800.0,95.09962371999276
pr2392.tsp,523107.0,454401.0,86.86578462914854
pcb3038.tsp,197498.0,165689.0,83.89401411659864
fl3795.tsp,36256.0,33901.0,93.50452338923213
fnl4461.tsp,255829.0,,N/A
rl5915.tsp,842903.0,,N/A
rl5934.tsp,817449.0,,N/A
